
b gpt;c llama;a tiny
b gpt;c llama;a tiny
c gpt;b llama;a tiny
c gpt;a llama;b tiny
a gpt;c llama;b tiny
c gpt;b llama;a tiny
a gpt;b llama;c tiny
c gpt;a llama;b tiny
c gpt;b llama;a tiny
c gpt;b llama;a tiny
b gpt;c llama;a tiny
a gpt;b llama;c tiny
c gpt;a llama;b tiny
b gpt;c llama;a tiny
a gpt;c llama;b tiny
a gpt;c llama;b tiny
c gpt;b llama;a tiny
c gpt;a llama;b tiny
a gpt;c llama;b tiny
b gpt;c llama;a tiny
c gpt;b llama;a tiny
c gpt;a llama;b tiny
a gpt;b llama;c tiny
c gpt;b llama;a tiny
a gpt;b llama;c tiny
c gpt;a llama;b tiny
c gpt;b llama;a tiny
c gpt;b llama;a tiny
b gpt;c llama;a tiny
c gpt;a llama;b tiny
a gpt;b llama;c tiny
b gpt;c llama;a tiny
c gpt;a llama;b tiny
c gpt;a llama;b tiny
b gpt;c llama;a tiny
c gpt;a llama;b tiny
a gpt;b llama;c tiny
b gpt;c llama;a tiny
c gpt;a llama;b tiny
c gpt;a llama;b tiny
b gpt;c llama;a tiny
